shipment_id,ship_date,expected_delivery,actual_delivery,region,carrier,warehouse,customer,distance_km,freight_cost,weight_kg,shipment_status
SHP-01130,2025-03-19,2025-03-20,2025-03-20,East,QuickMove,WH-07,Beta Partners,190.48,139.97,10.71,Delivered
SHP-02317,2024-12-04,2024-12-07,2024-12-08,North,SpeedEx,WH-01,Alpha Industries,139.79,145.14,5.22,Delivered
SHP-00722,2025-01-05,2025-01-07,2025-01-07,Central,FastShip,WH-09,Prime Inc,50.0,38.55,53.08,Delivered
SHP-01210,2024-09-16,2024-09-18,2024-09-18,Central,FastShip,WH-01,Sigma Partners,184.73,194.45,12.71,Delivered
SHP-00860,2024-12-18,2024-12-20,2024-12-20,East,QuickMove,WH-10,Sigma Corp,345.24,197.19,24.65,Delivered
SHP-01407,2024-04-09,2024-04-12,2024-04-12,East,GlobalFreight,WH-09,Acme Group,685.09,478.43,39.12,In Transit
SHP-01594,2024-10-20,2024-10-22,2024-10-23,North,GlobalFreight,WH-03,Omega Solutions,478.83,262.63,43.33,Delivered
SHP-04804,2024-08-28,2024-08-29,2024-08-29,EAST,GlobalFreight,WH-07,Acme Partners,102.07,77.48,15.2,Delivered
SHP-01058,2024-11-25,2024-11-28,2024-11-29,South,QuickMove,WH-03,Global Corp,288.86,156.83,51.88,In Transit
SHP-00554,2025-06-10,2025-06-12,2025-06-12,EAST,QuickMove,WH-04,Prime Partners,415.47,271.3,24.19,Delivered
SHP-03352,2024-06-05,2024-06-07,2024-06-07,North,SpeedEx,WH-10,Sigma Enterprises,143.88,104.13,9.92,Delivered
SHP-03028,2024-09-03,2024-09-05,2024-09-05,Central,SpeedEx,WH-02,Alpha Partners,261.58,319.89,34.27,Delivered
SHP-04130,2025-02-19,2025-02-22,2025-02-22,Central,SpeedEx,WH-06,Global LLC,215.02,228.75,71.98,Delivered
SHP-00799,2024-12-13,2024-12-17,2024-12-17,West,ReliableCo,WH-06,Delta Enterprises,961.98,426.15,5.39,Delivered
SHP-02844,2025-01-25,2025-01-27,2025-01-28,North,FastShip,WH-02,Beta Enterprises,282.23,192.92,6.19,Delivered
SHP-00486,2024-09-11,2024-09-12,2024-09-12,West,GlobalFreight,WH-01,Prime Enterprises,294.37,200.39,15.8,Delivered
SHP-04909,2024-06-11,2024-06-13,2024-06-13,East,GlobalFreight,WH-09,Delta Industries,424.1,220.5,64.92,Delivered
SHP-01294,2025-05-05,2025-05-08,2025-05-08,North,ReliableCo,WH-08,Prime Group,190.8,164.08,70.88,Delayed
SHP-03863,2025-01-19,2025-01-23,2025-01-24,East,ReliableCo,WH-04,Delta Solutions,429.05,479.51,26.99,Delivered
SHP-03635,2024-08-08,2024-08-11,2024-08-11,North,ReliableCo,WH-04,Acme Group,283.64,128.21,8.29,Delayed
SHP-04733,2025-02-24,2025-02-26,2025-02-26,South,Quick Move,WH-08,Global Inc,182.53,114.93,20.28,Delivered
SHP-04214,2024-03-26,2024-03-29,2024-03-29,East,GlobalFreight,WH-06,Global Corp,254.28,185.82,32.05,In Transit
SHP-00066,2024-02-24,2024-02-27,2024-02-27,Central,QuickMove,WH-06,Delta Industries,140.31,52.74,9.81,Delayed
SHP-00765,2024-03-20,2024-03-22,2024-03-22,North,GlobalFreight,WH-01,Prime Ltd,175.33,41.97,15.23,Delivered
SHP-00466,2024-12-19,2024-12-22,2024-12-23,North,GlobalFreight,WH-02,Sigma Ltd,225.75,189.19,5.91,Delivered
SHP-00839,2024-03-23,2024-03-24,2024-03-25,CENTRAL,reliable co,WH-03,Prime Group,316.39,199.72,17.89,Delivered
SHP-03865,2024-03-07,2024-03-09,2024-03-09,North,GlobalFreight,WH-08,Alpha LLC,238.23,91.8,29.26,Delivered
SHP-00034,2024-05-27,2024-05-30,2024-05-31,Central,fastship,WH-04,Prime Group,129.36,92.12,59.44,Delivered
SHP-03694,2024-02-03,2024-02-05,2024-02-05,North,GlobalFreight,WH-09,Delta Industries,413.8,372.17,15.15,Delayed
SHP-02471,2024-08-02,2024-08-04,2024-08-04,East,FastShip,WH-04,Acme Solutions,251.53,168.56,27.48,In Transit
SHP-03575,2024-03-04,2024-03-07,2024-03-06,East,SpeedEx,WH-10,Alpha Industries,198.7,302.33,108.65,Delivered
SHP-00764,2025-01-17,2025-01-18,2025-01-18,East,SpeedEx,WH-05,Omega Co,205.79,315.63,11.03,Delivered
SHP-04024,2025-04-21,2025-04-23,2025-04-24,central,SpeedEx,WH-06,Beta Co,163.56,209.97,10.64,Returned
SHP-01731,2024-04-17,2024-04-18,2024-04-18,East,ReliableCo,,Omega LLC,285.55,238.86,12.16,Delivered
SHP-00280,2025-03-20,2025-03-24,2025-03-24,Central,GlobalFreight,WH-05,Prime Solutions,1034.89,683.37,41.91,Delivered
SHP-01913,2025-04-19,2025-04-22,2025-04-22,South,ReliableCo,WH-09,Acme Corp,134.51,,15.35,In Transit
SHP-03293,2025-01-13,2025-01-16,2025-01-18,East,SpeedEx,WH-04,Omega Group,172.34,147.87,44.86,Delivered
SHP-02611,2024-10-24,2024-10-27,2024-10-27,East,ReliableCo,WH-02,Omega Corp,202.15,148.1,13.35,Delivered
SHP-04369,2024-03-19,2024-03-20,2024-03-20,East,QuickMove,WH-01,Omega Industries,99.0,76.79,122.87,Delivered
